driver_id,phase,week_start,trips,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,mean_ubpk,rate_events_per_km,rate_speeding_per_km,rate_harsh_brake_per_km,rate_rapid_accel_per_km,rate_swerve_per_km,rate_total_events_per_km
04618512580e479ca2447d2d6e3e5a01,post,2025-04-22,1,5.274894582447596,0,3,3,2,8,1.516617986380295,1.516617986380295,0.0,0.5687317448926107,0.5687317448926107,0.3791544965950738,1.516617986380295
04618512580e479ca2447d2d6e3e5a01,post,2025-04-29,2,19.270882090278462,0,13,8,4,25,1.2855842881558273,1.2972940150265198,0.0,0.6745928878137903,0.41513408480848635,0.20756704240424317,1.2972940150265198
04618512580e479ca2447d2d6e3e5a01,post,2025-05-13,1,3.092239822937118,0,1,0,0,1,0.3233901822822283,0.3233901822822283,0.0,0.3233901822822283,0.0,0.0,0.3233901822822283
04618512580e479ca2447d2d6e3e5a01,post,2025-05-20,1,3.725960227029789,0,2,0,0,2,0.5367743824775965,0.5367743824775965,0.0,0.5367743824775965,0.0,0.0,0.5367743824775965
04618512580e479ca2447d2d6e3e5a01,post,2025-06-17,1,2.0086023687552914,0,0,1,0,1,0.4978586182887402,0.4978586182887402,0.0,0.0,0.4978586182887402,0.0,0.4978586182887402
04618512580e479ca2447d2d6e3e5a01,post,2025-06-24,1,5.681102755374718,0,3,2,1,6,1.0561329830416433,1.0561329830416433,0.0,0.5280664915208216,0.3520443276805477,0.17602216384027386,1.0561329830416433
04618512580e479ca2447d2d6e3e5a01,pre,2025-01-07,1,3.751360346141533,0,1,2,1,4,1.0662798640802946,1.0662798640802944,0.0,0.2665699660200736,0.5331399320401472,0.2665699660200736,1.0662798640802944
04618512580e479ca2447d2d6e3e5a01,pre,2025-01-14,1,5.770869392687205,0,4,2,2,8,1.386272926248778,1.386272926248778,0.0,0.693136463124389,0.3465682315621945,0.3465682315621945,1.386272926248778
04618512580e479ca2447d2d6e3e5a01,pre,2025-01-28,1,3.236297546575205,0,2,4,4,10,3.08995074033982,3.0899507403398205,0.0,0.6179901480679642,1.2359802961359283,1.2359802961359283,3.0899507403398205
04618512580e479ca2447d2d6e3e5a01,pre,2025-02-11,1,6.178799197567093,0,3,1,3,7,1.132906213031855,1.132906213031855,0.0,0.4855312341565093,0.16184374471883642,0.4855312341565093,1.132906213031855
04618512580e479ca2447d2d6e3e5a01,pre,2025-03-04,1,3.606727654030199,0,0,1,2,3,0.8317789109049488,0.8317789109049488,0.0,0.0,0.2772596369683163,0.5545192739366326,0.8317789109049488
04618512580e479ca2447d2d6e3e5a01,pre,2025-03-11,2,6.234677717075444,0,11,4,0,15,2.4028568824053465,2.405898216505758,0.0,1.7643253587708891,0.6415728577348687,0.0,2.405898216505758
04618512580e479ca2447d2d6e3e5a01,pre,2025-03-25,1,1.853390651475716,0,3,1,0,4,2.15820663431916,2.1582066343191597,0.0,1.61865497573937,0.5395516585797899,0.0,2.1582066343191597
04618512580e479ca2447d2d6e3e5a01,pre,2025-04-01,1,3.888325112905848,0,5,4,2,11,2.828981548762369,2.8289815487623695,0.0,1.2859007039828951,1.028720563186316,0.514360281593158,2.8289815487623695
04618512580e479ca2447d2d6e3e5a01,pre,2025-04-08,1,5.229042544140373,0,8,7,1,16,3.0598335861561274,3.0598335861561274,0.0,1.5299167930780637,1.3386771939433058,0.19123959913475796,3.0598335861561274
06fc09066ff54ee0b0298ef00f80d42d,post,2025-05-06,1,5.247787846215746,0,4,0,0,4,0.7622259354261923,0.7622259354261923,0.0,0.7622259354261923,0.0,0.0,0.7622259354261923
06fc09066ff54ee0b0298ef00f80d42d,post,2025-05-27,1,3.852142070871915,0,1,2,0,3,0.778787475852614,0.778787475852614,0.0,0.25959582528420466,0.5191916505684093,0.0,0.778787475852614
06fc09066ff54ee0b0298ef00f80d42d,post,2025-06-10,1,3.5137739497493103,0,0,2,2,4,1.1383771572116583,1.1383771572116583,0.0,0.0,0.5691885786058292,0.5691885786058292,1.1383771572116583
06fc09066ff54ee0b0298ef00f80d42d,pre,2025-01-14,1,3.487631668917934,0,2,0,1,3,0.8601825779758372,0.8601825779758372,0.0,0.5734550519838915,0.0,0.28672752599194573,0.8601825779758372
